subID,ID_Database_Cleaned,iPad_Used,Short_SubID,Maybe_Age
IPAD2_THU5F03,IPAD2_THU5F03,IPAD2,THU5F03,
IPad3 _THU8M17,IPAD3_THU8M17,IPAD3,THU8M17,
IPad3-THU9F23,IPAD3_THU9F23,IPAD3,THU9F23,
IPad3-THU9M22,IPAD3_THU9M22,IPAD3,THU9M22,
IPad_THU6F13,IPAD_THU6F13,IPAD,THU6F13,
Ipad1 _1 THU 6F 30,IPAD1_1THU6F30,IPAD1,1THU6F30,
Ipad1 _THU8M22,IPAD1_THU8M22,IPAD1,THU8M22,
Ipad1_THU11F23,IPAD1_THU11F23,IPAD1,THU11F23,1
Ipad1_THU11F24,IPAD1_THU11F24,IPAD1,THU11F24,1
Ipad1_THU11F25,IPAD1_THU11F25,IPAD1,THU11F25,1
Ipad1_THU11F27,IPAD1_THU11F27,IPAD1,THU11F27,1
Ipad1_THU12F22,IPAD1_THU12F22,IPAD1,THU12F22,1
Ipad1_THU13F26,IPAD1_THU13F26,IPAD1,THU13F26,1
Ipad1__THU 9M47,IPAD1_THU9M47,IPAD1,THU9M47,
Ipad2_THU11F25,IPAD2_THU11F25,IPAD2,THU11F25,1
Ipad2_THU11F26,IPAD2_THU11F26,IPAD2,THU11F26,1
Ipad2_THU11F29,IPAD2_THU11F29,IPAD2,THU11F29,1
Ipad2_THU12F27,IPAD2_THU12F27,IPAD2,THU12F27,1
Ipad2_THU12M28,IPAD2_THU12M28,IPAD2,THU12M28,1
Ipad2_THU25F1,IPAD2_THU25F1,IPAD2,THU25F1,1
Ipad2_THU4M03,IPAD2_THU4M03,IPAD2,THU4M03,
Ipad2_THU5F04,IPAD2_THU5F04,IPAD2,THU5F04,
Ipad2_THU5F18,IPAD2_THU5F18,IPAD2,THU5F18,
Ipad2_THU6F32,IPAD2_THU6F32,IPAD2,THU6F32,
iPa2_THU9F41,IPA2_THU9F41,IPA2,THU9F41,
iPad 1_THU9F50,IPAD1_THU9F50,IPAD1,THU9F50,
iPad 2_THU8F1,IPAD2_THU8F1,IPAD2,THU8F1,
iPad 2_THU9M39,IPAD2_THU9M39,IPAD2,THU9M39,
iPad 3_THU8M1,IPAD3_THU8M1,IPAD3,THU8M1,
iPad 3_THU9F1,IPAD3_THU9F1,IPAD3,THU9F1,
iPad 3_THU9M2,IPAD3_THU9M2,IPAD3,THU9M2,
iPad 4_THU9F45,IPAD4_THU9F45,IPAD4,THU9F45,
iPad 4_THU9M2,IPAD4_THU9M2,IPAD4,THU9M2,
iPad 5_THU6M1,IPAD5_THU6M1,IPAD5,THU6M1,
iPad 5_THU6M4,IPAD5_THU6M4,IPAD5,THU6M4,
iPad 5_THU9M40,IPAD5_THU9M40,IPAD5,THU9M40,
iPad 5_THU9M46,IPAD5_THU9M46,IPAD5,THU9M46,
iPad _THU5F6,IPAD_THU5F6,IPAD,THU5F6,
iPad1 _THU9F49,IPAD1_THU9F49,IPAD1,THU9F49,
iPad1_THU10F40,IPAD1_THU10F40,IPAD1,THU10F40,
iPad1_THU5M,IPAD1_THU5M,IPAD1,THU5M,
iPad2_THU9F38,IPAD2_THU9F38,IPAD2,THU9F38,
iPad3 _THU4F6,IPAD3_THU4F6,IPAD3,THU4F6,
iPad3_THU8M17,IPAD3_THU8M17,IPAD3,THU8M17,
iPad_THU7M12,IPAD_THU7M12,IPAD,THU7M12,
iPad_THU8M21,IPAD_THU8M21,IPAD,THU8M21,
ipad1_THU8F33,IPAD1_THU8F33,IPAD1,THU8F33,
ipad2_THU9M37,IPAD2_THU9M37,IPAD2,THU9M37,
