ID_Tsinghua,ID_Database
iPad1_THU4F10,iPa2_THU9F41 
iPad1_THU4F6,iPad _THU5F6
iPad1_THU4F8,Ipad 1 _THU 8F29 
iPad1_THU4M5,Ipad 1_THU 6F32
iPad1_THU4M7,iPad 1_THU9F50
iPad1_THU4M9,iPad 1_THU9M2
iPad1_THU5F2,Ipad 2_THU5M01
iPad1_THU5F3,iPad 2_THU6M1
iPad1_THU5M1,iPad 2_THU6M2
iPad1_THU5M4,iPad 2_THU6M3
iPad1_THU6F19,iPad 2_THU6M4
iPad1_THU6F20,iPad 2_THU7F15
iPad1_THU6F28,iPad 2_THU8F1
iPad1_THU6F30,iPad 2_THU8M16
iPad1_THU6F32,iPad 2_THU9M2
iPad1_THU6F43,iPad 2_THU9M3
iPad1_THU6M21,iPad 2_THU9M39
iPad1_THU7F15,iPad 3_THU5F2 
iPad1_THU7F31,iPad 3_THU5M1 
iPad1_THU7F33,iPad 3_THU8M1
iPad1_THU7F39,iPad 3_THU8M14
iPad1_THU7F40,iPad 3_THU9F1
iPad1_THU7F41,iPad 3_THU9M2
iPad1_THU7F42,iPad 4_THU8F1
iPad1_THU7M17,iPad 4_THU9F45
iPad1_THU7M18,iPad 4_THU9M2
iPad1_THU7M44,iPad 5_THU4F8
iPad1_THU7M45,iPad 5_THU4M10
iPad1_THU7M46,iPad 5_THU4M5
iPad1_THU8F13,iPad 5_THU4M7
iPad1_THU8F14,iPad 5_THU5F2
iPad1_THU8F29,iPad 5_THU5F3
iPad1_THU8F34,iPad 5_THU5M9
iPad1_THU8M16,iPad 5_THU6M1
iPad1_THU8M35,iPad 5_THU6M4
iPad1_THU8M36,iPad 5_THU9M40
iPad1_THU8M37,iPad 5_THU9M46
iPad1_THU9F2,iPad 5-THU9M2
iPad1_THU9F38,IPad_THU6F13
iPad1_THU9M1,iPad_THU7M12
iPad1_THU9M11,iPad_THU8M21
iPad1_THU9M12,Ipad1 _1 THU 6F 30 
iPad1_THU9M2,ipad1 _THU 6F28 
iPad2_THU10M11,Ipad1 _THU 7F31 
iPad2_THU4F03,Ipad1 _THU6F19 
iPad2_THU4F09,Ipad1 _THU6F20 
iPad2_THU4M04,Ipad1 _THU6M21 
iPad2_THU4M04,Ipad1 _THU7F39
iPad2_THU5F02,Ipad1 _THU7F40
iPad2_THU5F02,Ipad1 _THU7F41
iPad2_THU5M01,Ipad1 _THU7F42
iPad2_THU5M01,Ipad1 _THU7M18 
iPad2_THU5M03,Ipad1 _THU7M46
iPad2_THU5M04,Ipad1 _THU8M22
iPad2_THU6F19,iPad1 _THU9F49
iPad2_THU6F20,Ipad1 -THU8M35
iPad2_THU6M1,Ipad1__THU 9M47
iPad2_THU6M2,iPad1_THU10F40
iPad2_THU6M3,Ipad1_THU11F23
iPad2_THU6M30,Ipad1_THU11F24
iPad2_THU6M31,Ipad1_THU11F25
iPad2_THU6M32,Ipad1_THU11F27
iPad2_THU6M33,Ipad1_THU12F22
iPad2_THU6M4,Ipad1_THU13F26
iPad2_THU7F15,iPad1_THU4F10
iPad2_THU7M17,iPad1_THU4F6
iPad2_THU7M18,iPad1_THU4F8
iPad2_THU8F12,iPad1_THU4M5
iPad2_THU8F14,iPad1_THU4M7
iPad2_THU8F24,iPad1_THU4M9
iPad2_THU8F34,Ipad1_THU5F2
iPad2_THU8F36,iPad1_THU5F3
iPad2_THU8M16,iPad1_THU5M
iPad2_THU8M21,Ipad1_THU5M1
iPad2_THU9F22,iPad1_THU5M4
iPad2_THU9F35,Ipad1_THU6F43
iPad2_THU9M13,Ipad1_THU7F15
iPad2_THU9M2,Ipad1_THU7M17
iPad2_THU9M23,Ipad1_THU7M44
iPad2_THU9M3,Ipad1_THU7M45
iPad3_THU4F8,Ipad1_THU8F13
iPad3_THU4M10,Ipad1_THU8F14
iPad3_THU4M5,ipad1_THU8F33
iPad3_THU4M6,ipad1_THU8F34
iPad3_THU4M9,Ipad1_THU8M16
iPad3_THU5F2,Ipad1_THU9M11
iPad3_THU5F4,Ipad1_THU9M12
iPad3_THU5M1,Ipad1-THU8M36
iPad3_THU5M3,Ipad1-THU8M37
iPad3_THU5M7,Ipad1-THU9F2
iPad3_THU6F19,Ipad1-THU9F38
iPad3_THU6F21,Ipad1-THU9M1
iPad3_THU7F11,Ipad2 _THU6F20
iPad3_THU7F13,Ipad2 _THU8F14
iPad3_THU7M12,Ipad2 _THU8F34
iPad3_THU7M20,Ipad2 _THU9M13
iPad3_THU8F16,Ipad2_THU10M11
iPad3_THU8F17,Ipad2_THU11F25
iPad3_THU8M14,Ipad2_THU11F26
iPad3_THU9F18,Ipad2_THU11F29
iPad3_THU9M15,Ipad2_THU12F27
iPad4_THU4F8,Ipad2_THU12M28
iPad4_THU4F9,Ipad2_THU25F1
iPad4_THU4M7,Ipad2_THU4F03
iPad4_THU5F2,Ipad2_THU4F09
iPad4_THU5F6,Ipad2_THU4M03
iPad4_THU5M3,Ipad2_THU4M04
iPad4_THU5M5,IPAD2_THU5F03
iPad4_THU6F4,Ipad2_THU5F04
iPad4_THU6M1,Ipad2_THU5F18
iPad4_THU8F1,Ipad2_THU5M03
iPad4_THU8F11,Ipad2_THU6F19
iPad4_THU8F13,Ipad2_THU6F32
iPad4_THU8M12,Ipad2_THU6F33
iPad5_THU4F6,Ipad2_THU6M30
iPad5_THU4F8,Ipad2_THU6M31
iPad5_THU4M10,Ipad2_THU7M17
iPad5_THU4M5,Ipad2_THU7M18
iPad5_THU4M7,Ipad2_THU8F12
iPad5_THU5F2,Ipad2_THU8F24
iPad5_THU5F3,Ipad2_THU8F36
iPad5_THU5M1,iPad2_THU9F22
iPad5_THU5M4,Ipad2_THU9F35
iPad5_THU5M9,iPad2_THU9F38
iPad5_THU9M2,Ipad2_THU9M23
iPad5_THU9M5,ipad2_THU9M37
,iPad3 _THU4F6 
,iPad3 _THU4F8 
,iPad3 _THU4M10 
,iPad3 _THU4M5 
,iPad3 _THU4M9
,IPad3 _THU5F4 
,iPad3 _THU5M3 
,IPad3 _THU8F16
,IPad3 _THU8M17
,IPad3 _THU9M15
,iPad3_THU5M7 
,Ipad3_THU6F19
,Ipad3_THU6F21
,IPad3_THU7F11
,Ipad3_THU7M20
,iPad3_THU8M17
,Ipad3_THU9F18
,IPad3-THU9F23
,IPad3-THU9M22
,Ipad4_THU4F8
,Ipad4_THU4F9
,Ipad4_THU4M7
,Ipad4_THU5F2
,Ipad4_THU5F6
,Ipad4_THU5M3
,Ipad4_THU5M5
,Ipad4_THU6F4
,Ipad4_THU6M1
,Ipad4_THU8F11
,Ipad4_THU8F13
,Ipad4_THU8M12
,Ipad5-THU9M5
