Age,Sex,ID,CB,note,Date,ID_SubjectLog,iPad_Used,Short_SubID,subID,is_test,ID_Database
9.68,M,iPad5_THU9M5,2,NA,12/24/19,IPAD5_THU9M5,IPAD5,THU9M5,Ipad5-THU9M5,FALSE,IPAD5_THU9M5
8.01,M,iPad5_THU9M2,NA,NA,12/24/19,IPAD5_THU9M2,IPAD5,THU9M2,iPad 5-THU9M2,FALSE,IPAD5_THU9M2
5.02,M,iPad5_THU5M9,1,NA,11/15/19,IPAD5_THU5M9,IPAD5,THU5M9,iPad 5_THU5M9,FALSE,IPAD5_THU5M9
5.26,F,iPad5_THU5F3,2,NA,11/15/19,IPAD5_THU5F3,IPAD5,THU5F3,iPad 5_THU5F3,FALSE,IPAD5_THU5F3
5.67,F,iPad5_THU5F2,1,NA,11/15/19,IPAD5_THU5F2,IPAD5,THU5F2,iPad 5_THU5F2,FALSE,IPAD5_THU5F2
4.71,M,iPad5_THU4M7,2,NA,11/15/19,IPAD5_THU4M7,IPAD5,THU4M7,iPad 5_THU4M7,FALSE,IPAD5_THU4M7
4.8,M,iPad5_THU4M5,1,unfinished,11/15/19,IPAD5_THU4M5,IPAD5,THU4M5,iPad 5_THU4M5,FALSE,IPAD5_THU4M5
4.49,M,iPad5_THU4M10,2,NA,11/15/19,IPAD5_THU4M10,IPAD5,THU4M10,iPad 5_THU4M10,FALSE,IPAD5_THU4M10
4.75,F,iPad5_THU4F8,2,NA,11/15/19,IPAD5_THU4F8,IPAD5,THU4F8,iPad 5_THU4F8,FALSE,IPAD5_THU4F8
8.58,M,iPad4_THU8M12,1,NA,12/4/19,IPAD4_THU8M12,IPAD4,THU8M12,Ipad4_THU8M12,FALSE,IPAD4_THU8M12
8.2,F,iPad4_THU8F13,2,NA,12/4/19,IPAD4_THU8F13,IPAD4,THU8F13,Ipad4_THU8F13,FALSE,IPAD4_THU8F13
8.24,F,iPad4_THU8F11,1,NA,12/4/19,IPAD4_THU8F11,IPAD4,THU8F11,Ipad4_THU8F11,FALSE,IPAD4_THU8F11
8.37,F,iPad4_THU8F1,1,NA,12/24/19,IPAD4_THU8F1,IPAD4,THU8F1,iPad 4_THU8F1,FALSE,IPAD4_THU8F1
6.1,M,iPad4_THU6M1,1,NA,11/15/19,IPAD4_THU6M1,IPAD4,THU6M1,Ipad4_THU6M1,FALSE,IPAD4_THU6M1
5.83,F,iPad4_THU6F4,2,have an error in ID (the age in ID should be 5),11/15/19,IPAD4_THU6F4,IPAD4,THU6F4,Ipad4_THU6F4,FALSE,IPAD4_THU6F4
4.97,M,iPad4_THU5M5,1,have an error in ID (the age in ID should be 4,11/15/19,IPAD4_THU5M5,IPAD4,THU5M5,Ipad4_THU5M5,FALSE,IPAD4_THU5M5
5.27,M,iPad4_THU5M3,2,NA,11/15/19,IPAD4_THU5M3,IPAD4,THU5M3,Ipad4_THU5M3,FALSE,IPAD4_THU5M3
5.1,F,iPad4_THU5F6,1,NA,11/15/19,IPAD4_THU5F6,IPAD4,THU5F6,Ipad4_THU5F6,FALSE,IPAD4_THU5F6
5.45,F,iPad4_THU5F2,1,NA,11/15/19,IPAD4_THU5F2,IPAD4,THU5F2,Ipad4_THU5F2,FALSE,IPAD4_THU5F2
4.1,M,iPad4_THU4M7,2,NA,11/15/19,IPAD4_THU4M7,IPAD4,THU4M7,Ipad4_THU4M7,FALSE,IPAD4_THU4M7
4.72,F,iPad4_THU4F9,1,NA,11/15/19,IPAD4_THU4F9,IPAD4,THU4F9,Ipad4_THU4F9,FALSE,IPAD4_THU4F9
4.57,F,iPad4_THU4F8,2,NA,11/15/19,IPAD4_THU4F8,IPAD4,THU4F8,Ipad4_THU4F8,FALSE,IPAD4_THU4F8
9.18,M,iPad3_THU9M15,1,NA,12/10/19,IPAD3_THU9M15,IPAD3,THU9M15,IPad3 _THU9M15,FALSE,IPAD3_THU9M15
9.05,F,iPad3_THU9F18,1,NA,12/17/19,IPAD3_THU9F18,IPAD3,THU9F18,Ipad3_THU9F18,FALSE,IPAD3_THU9F18
8.32,M,iPad3_THU8M14,2,NA,12/10/19,IPAD3_THU8M14,IPAD3,THU8M14,iPad 3_THU8M14,FALSE,IPAD3_THU8M14
8.52,F,iPad3_THU8F16,2,NA,12/10/19,IPAD3_THU8F16,IPAD3,THU8F16,IPad3 _THU8F16,FALSE,IPAD3_THU8F16
6.91,M,iPad3_THU7M20,1,NA,12/19/19,IPAD3_THU7M20,IPAD3,THU7M20,Ipad3_THU7M20,FALSE,IPAD3_THU7M20
7.63,F,iPad3_THU7F11,1,NA,12/4/19,IPAD3_THU7F11,IPAD3,THU7F11,IPad3_THU7F11,FALSE,IPAD3_THU7F11
6.97,F,iPad3_THU6F21,1,NA,12/19/19,IPAD3_THU6F21,IPAD3,THU6F21,Ipad3_THU6F21,FALSE,IPAD3_THU6F21
6.4,F,iPad3_THU6F19,2,NA,12/19/19,IPAD3_THU6F19,IPAD3,THU6F19,Ipad3_THU6F19,FALSE,IPAD3_THU6F19
5.02,M,iPad3_THU5M7,2,NA,11/15/19,IPAD3_THU5M7,IPAD3,THU5M7,iPad3_THU5M7,FALSE,IPAD3_THU5M7
5.36,M,iPad3_THU5M3,2,NA,11/15/19,IPAD3_THU5M3,IPAD3,THU5M3,iPad3 _THU5M3,FALSE,IPAD3_THU5M3
5.59,M,iPad3_THU5M1,1,NA,11/15/19,IPAD3_THU5M1,IPAD3,THU5M1,iPad 3_THU5M1,FALSE,IPAD3_THU5M1
5.55,F,iPad3_THU5F4,2,NA,11/15/19,IPAD3_THU5F4,IPAD3,THU5F4,IPad3 _THU5F4,FALSE,IPAD3_THU5F4
5.89,F,iPad3_THU5F2,1,NA,11/15/19,IPAD3_THU5F2,IPAD3,THU5F2,iPad 3_THU5F2,FALSE,IPAD3_THU5F2
4.26,M,iPad3_THU4M9,2,NA,11/15/19,IPAD3_THU4M9,IPAD3,THU4M9,iPad3 _THU4M9,FALSE,IPAD3_THU4M9
4.57,M,iPad3_THU4M5,1,NA,11/15/19,IPAD3_THU4M5,IPAD3,THU4M5,iPad3 _THU4M5,FALSE,IPAD3_THU4M5
4.45,M,iPad3_THU4M10,1,NA,11/15/19,IPAD3_THU4M10,IPAD3,THU4M10,iPad3 _THU4M10,FALSE,IPAD3_THU4M10
4.82,F,iPad3_THU4F8,2,NA,11/15/19,IPAD3_THU4F8,IPAD3,THU4F8,iPad3 _THU4F8,FALSE,IPAD3_THU4F8
9.76,M,iPad2_THU9M3,NA,NA,12/24/19,IPAD2_THU9M3,IPAD2,THU9M3,iPad 2_THU9M3,FALSE,IPAD2_THU9M3
9.16,M,iPad2_THU9M23,2,NA,12/10/19,IPAD2_THU9M23,IPAD2,THU9M23,Ipad2_THU9M23,FALSE,IPAD2_THU9M23
8.84,M,iPad2_THU9M2,NA,NA,12/24/19,IPAD2_THU9M2,IPAD2,THU9M2,iPad 2_THU9M2,FALSE,IPAD2_THU9M2
