Age,Sex,ID,CB,Date,ID_SubjectLog,iPad_Used,Short_SubID,ID_Database_raw,ID_Database
7.04,F,iPad2_THU6M33,1,12/12/19,IPAD2_THU6M33,IPAD2,THU6M33,NA,NA
5.65,F,iPad2_THU5F02,1,11/15/19,IPAD2_THU5F02,IPAD2,THU5F02,NA,NA
5.96,F,iPad2_THU5F02,2,11/15/19,IPAD2_THU5F02,IPAD2,THU5F02,NA,NA
10.07,F,iPad3_THU10F23,1,1/14/20,IPAD3_THU10F23,IPAD3,THU10F23,NA,NA
9.55,F,iPad4_THU9M45,2,1/14/20,IPAD4_THU9M45,IPAD4,THU9M45,NA,NA
9.83,M,iPad4_THU9M40,1,1/14/20,IPAD4_THU9M40,IPAD4,THU9M40,NA,NA
9.46,F,iPad2_THU9F41,2,1/14/20,IPAD2_THU9F41,IPAD2,THU9F41,NA,NA
9.5,F,iPad2_THU9F50,1,1/14/20,IPAD2_THU9F50,IPAD2,THU9F50,NA,NA
NA,F,NA,NA,11/15/19,NA,NA,NA,NA,NA
NA,F,NA,NA,11/15/19,NA,NA,NA,NA,NA
