subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
102618_1,photodraw_e21540576907849,S,this square,1,6.371,0.02277981505102041,age4,S_this square_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,this shape,2,2.021,0.034677933673469385,age4,S_this shape_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,rectangle,1,5.619,0.04185267857142857,age4,P_rectangle_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,watch,2,3.241,0.03441884566326531,age4,P_watch_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,bike,4,5.478,0.04388552295918367,age4,P_bike_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,chair,9,13.727,0.060227997448979595,age4,P_chair_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,car,8,15.959,0.04886798469387755,age4,P_car_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,tree,17,10.878,0.06531010841836735,age4,P_tree_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,P,rabbit,8,10.627,0.06333705357142858,age4,P_rabbit_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,triangle,1,7.516,0.04908721301020408,age4,S_triangle_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,house,3,8.366,0.04350685586734694,age4,S_house_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,cup,5,11.021,0.04300860969387755,age4,S_cup_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,hat,2,3.299,0.03966039540816327,age4,S_hat_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,cat,10,14.268,0.05466757015306122,age4,S_cat_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
102618_1,photodraw_e21540576907849,S,bird,4,6.671,0.040338010204081634,age4,S_bird_sketch_age4_CDM_photodraw_e21540576907849.png,4,CDM
