,session_id,subID,subID_cleaned,age,category,condition,filename,ref_image_name,stroke_count,svg
0,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,this square,S,THU_sketches_and_metadata/this square_sketch_iPad3_THU5M7 _S.png,images/square.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M211.21875,210.42188l5,-5l4.84749,-0.25177l5.15251,0.25177l4.48,-2.29966l3.52,-2.70034l2.82604,-0.68467l4.8262,0.07607l5.00008,0.38037l3.34768,0.22822l11.35508,0.43104l12.70573,0.55174l12.17533,-0.43965l9.76386,-2.54312h5.5h5.5l9.03426,-2.66056l9.66073,-0.61108l9.56323,-0.22526l8.74178,-1.5031l14.07774,-3.86196l13.53243,-2.09867l14.22734,-0.86835l16.16248,-0.17101l11.86736,-0.5651l11.13264,1.5651l5.11992,0.68523l9.06906,0.28497l9.22457,0.04987l5.58644,-0.02008l5.19089,-0.40626l4.80911,0.40626l7.73108,7.55227l7.26892,9.44773l2.27502,6.52015l2.333,9.19953l2.27899,9.58969l2.113,7.69063l1,14l8.65859,35.12934l3.43687,37.06659l-2.11086,36.96863l-7.9846,34.83545l-0.6954,3.66095l-0.69886,6.32279l-1.28953,17.28687l-0.94764,17.90157l-0.2715,7.09116l-0.09709,4.73667l0.02314,5.48144l-0.1281,7.46092l-0.57562,6.98974l-1.31942,4.06789l-2.89577,1.10687l-4.46963,0.23813l-8.6346,-0.345l-41,2l-11,2l-7.47075,1.14241l-11.72266,-0.12693l-12.12596,-0.63467l-8.68064,-0.3808h-107h-47l-7.34118,1.58447l-4.16091,0.76056l-2.49791,-0.34503l-0.65795,-2.41684l-0.28801,-4.30282l-0.06503,-4.44299l0.01098,-2.83735v-41l1.5,-39.14363l1.5,-39.85637l-0.38947,-49.10326l1.35757,-24.29829l4.03191,-23.59845l1,-20l9,-32l1.18011,-5.29727l1.81989,-4.70273"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
1,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,this shape,S,THU_sketches_and_metadata/this shape_sketch_iPad3_THU5M7 _S.png,images/shape.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M353.21875,593.42188l-2.91963,-5.15377l0.91963,-5.84623l8.06529,-23.63058l3.18973,-11.53571l3.74498,-9.83372l0.99571,-6.49143l1.00429,-6.50857l7.6419,-19.11557l6.3581,-19.88443l1.43245,-8.62371l-0.01712,-9.07589l0.27521,-8.97609l2.30945,-8.32431l1.84855,-7.07301l1.04298,-9.12915l1.34722,-8.77807l2.76125,-6.01977l10.15047,-10.65047l9.84953,-10.34953l7.66562,-3.16562l7.33438,-2.83438l9.21178,-8.62647l8.10259,-7.54375l7.44541,-8.70864l7.24022,-12.12113l1.06407,-7.46132l-0.06407,-7.53868l-0.97859,-10.91094l-2.80514,-8.62217l-4.43576,-6.79408l-5.87045,-5.42666l-15.26124,-8.59381l-18.64883,-8.65233l-11.92126,-1.75709l-6.21266,-0.75276l-4.86608,-2.49014l-12.15163,-13.26314l-9.84837,-15.73686l-3.89411,-13.43265l-0.4354,-15.11153l1.72935,-15.33944l2.60015,-14.11637l2.72519,-19.68972l0.52411,-20.14352l-1.60054,-19.9769l-3.64875,-19.18986l-3.44954,-15.36631l-1.55046,-15.63369v-11l-0.55908,1.61131l-1.26513,3.68552l-1.35303,4.0371l-0.82277,2.66606l-2.16689,18.08862l-2.83311,17.91138l-9.42291,29.59009l-7.57709,30.40991l-1.5188,16.0591l0.16876,19.26472l0.84378,19.60281l0.50627,17.07337l0.05586,4.71679l0.0931,8.40438l0.01862,8.09379l-0.16758,3.78503l-10,14l-4.20276,0.97795l-4.84397,-2.53072l-4.32061,-3.75433l-2.63266,-2.6929l-17.15967,-18.77124l-13.84033,-21.22876l-8,-13l-1.21665,-4.86777l-0.84973,-2.56626l-0.93362,-0.56597l-0.52835,3.2838l1.14204,5.11705l1.5852,5.16662l0.80112,3.43253l1.52127,12.62762l4.11879,10.46808l13.35994,16.9043l3.30948,5.80948l3.69052,6.19052l2.23907,4.12464l1.65848,6.3011l0.45971,6.33823l-1.35726,4.23602l-9,5l-8.97003,5.92242l-9.02997,5.07758l-18.31882,2.41282l-18.75653,-2.84802l-35.92466,-10.5648l-15.06375,-5.35679l-13.93625,-6.64321l-5.3701,-2.4683l-3.34581,-0.94269l-2.28409,0.41099l0.35468,1.92663l2.15509,3.06376l4.49023,5.00961l14.12016,11.98937l16.87984,9.01063l4.67014,1.12118l7.14041,1.1736l18.51101,2.04467l18.85023,0.87494l7.56443,-0.28855l5.26378,-0.92584l3.74471,-1.23519l6.05965,-1.69259l6.15747,-0.9787l4.03818,0.90648l2.22852,5.32275l0.77148,6.67725l0.46103,6.10213l-0.46103,5.89787l-5.08718,6.52281l-7.74399,6.31875l-17.16883,10.15844l-7.15465,6.23454l-5.84535,6.76546l-1,2l3.83796,0.5l4.16204,0.5l12.49308,0.99225l12.50692,-0.99225l10.86117,-5.07231l10.19704,-6.76333l19.94179,-13.16436l5.87956,-2.98258l7.12044,-0.01742l4.86231,5.4742l4.13769,6.5258l3.92146,8.37859l2.0895,9.16991l2.98904,18.4515l5.70829,35.5409l1.29171,36.4591l0.76083,14.13505l-0.76083,13.86495l-0.77131,3.89592l-0.93789,6.07751l-1.8159,15.82466l-0.80335,15.92561l0.3278,6.2037l1.00066,4.07259l7,6"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
2,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,this shape,S,THU_sketches_and_metadata/this shape_sketch_iPad3_THU5M7 _S.png,images/shape.png,2,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M353.21875,593.42188l-2.47521,-11.01111l2.47111,-11.91628l9.25912,-23.23889l5.74498,-22.83372l9.19593,-23.37268l4.00089,-11.90296l2.23564,-12.34807l0.94999,-12.64388l1.6859,-17.16661l2.75984,-16.60544l1.88828,-6.50356l2.28353,-4.4568l9.34981,-11.15138l10.65019,-9.84862l7.46298,-3.11687l7.53702,-2.88313l10.64762,-8.47823l10.47522,-10.89079l8.17982,-12.32161l3.76141,-12.77069l-0.25769,-11.32325l-2.26944,-9.78712l-4.09679,-8.41106l-5.73973,-7.19508l-15.67071,-11.38256l-20.0297,-8.43961l-11.77269,-1.38519l-6.18803,-0.98272l-5.03928,-2.63209l-12.33218,-13.49656l-9.66782,-15.50344l-4.67184,-18.86717l0.99735,-19.75723l6.39967,-39.06532l-0.05275,-25.54142l-2.99995,-25.24796l-6.67248,-50.5209l-0.55908,1.61131l-2.61816,7.72263l-2.98966,20.75468l-5.29996,23.92468l-6.95606,23.5768l-5.02647,21.71673l-2.64427,20.69374l-0.82974,20.82264l0.41712,22.10343l1.15004,29.68506l-2.73543,13.8014l-7.90834,12.58691l-3.44562,1.27452l-3.84078,-1.49852l-6.08094,-5.0831l-18.28945,-20.21537l-15.34321,-22.47753l-8,-13l-2.13841,-6.55882l-0.37132,-1.63579l-0.49026,0.1946l-0.72202,4.00347l0.98801,4.48007l2.73401,8.51646l3.25286,14.06527l4.78296,9.98783l6.34242,9.41365l7.93123,12.34273l3.31496,5.61948l3.7666,7.66159l1.89845,7.81869l-2.28948,6.09076l-11.86517,8.77481l-11.93371,5.50454l-12.05867,2.70515l-12.24005,0.37663l-25.24992,-4.34879l-26.65248,-8.01233l-8.91405,-2.92731l-5.96083,-2.34639l-5.77339,-2.70954l-8.35173,-4.01676l-1.81389,-0.96232l-3.29689,-1.55043l-3.4915,-1.04406l-2.39771,0.55681l-0.4214,2.50046l1.82354,2.64725l5.59786,4.85228l8.09159,7.26237l6.22652,4.86341l6.81747,4.05052l9.86442,4.82369l12.98974,3.98888l15.01604,1.71695l15.19721,0.09549l13.53323,-0.87549l5.7106,-1.50245l7.30932,-2.42288l7.1153,-1.44167l5.12856,1.44116l2.32616,5.85508l0.67384,6.14492l-0.09814,6.97979l-1.62014,5.7134l-6.84905,8.67197l-10.06539,6.73939l-11.36729,6.89545l-2.72164,2.29067l-5.22544,4.7461l-4.7519,4.97772l-1.30102,2.98551l3.85426,1.03494l6.67113,0.60443l6.5317,0.28281l3.43599,0.07007l14.91599,-2.5546l13.3812,-6.42369l25.20973,-17.01396l6.14025,-3.06924l6.85975,0.06924l4.76807,3.44477l3.76532,5.16272l5.08899,13.50354l2.7778,14.44803l1.59983,11.44095l5.6234,42.91007l2.13743,43.22499l-3.38451,30.86227l-1.76223,15.43878l0.38526,15.49131l2.05334,6.62162l3.51792,3.04869l4.34975,0.014l4.54881,-2.48244l4.11513,-4.44064l3.04868,-5.86059l1.34949,-6.7423l-0.98247,-7.08576"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
3,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,triangle,P,THU_sketches_and_metadata/triangle_sketch_iPad3_THU5M7 _P.png,images_photocues/triangle.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M206.21875,290.42188v-5l1.87403,-1.09337l3.62168,-0.81801l6.50428,-1.08862l19.51375,-3.17923l19.48625,-2.82077l56.58712,-10.93626l29.10836,-3.00859l29.30452,-1.05515h31l4.64105,-0.35634l4.35895,0.35634l2,5l0.54945,4.35695l-0.53957,8.05626l-1.04451,8.09965l-0.96538,4.48714l-14.44461,36.95478l-8.14835,19.27365l-11.40704,18.77157l-11,19l-42,63l-8.31016,10.18406l-8.90973,7.9793l-16.78011,13.83664l-24,27l-5.29339,-0.07302l-9.01533,-3.09537l-8.86097,-4.01117l-4.83032,-2.82044l-8.11059,-3.11059l-8.88941,-3.88941l-15.12112,-19.09669l-8.43099,-20.05693l-3.65493,-22.48012l-0.79296,-26.36626l-1.4844,-16.96894l0.4844,-17.03106l8.1266,-33.63525l2.79587,-16.9496l1.07752,-17.41515"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
4,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,car,P,THU_sketches_and_metadata/car_sketch_iPad3_THU5M7 _P.png,images_photocues/car_1.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M243.21875,359.42188l20.45762,-5.47638l23.91173,-5.70672l11.87966,-1.51102l11.09739,0.14585l9.76653,2.37421l7.88707,5.17406l1.97102,5.10996l-1.3678,6.03043l-2.91941,5.71023l-2.68381,4.14938l-13.90006,14.2588l-15.09994,12.7412l-4.15752,1.97002l-5.80151,0.98901l-5.57199,0.75949l-3.46897,1.28147l-2.57173,3.44821l-4.42827,3.55179"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
5,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,car,P,THU_sketches_and_metadata/car_sketch_iPad3_THU5M7 _P.png,images_photocues/car_1.png,2,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M239.21875,361.42188l-13.33868,3.71168l-12.06121,0.94622l-22.00857,-3.99397l-22.05434,-7.82593l-25.53719,-6.83799l-9.11885,-1.82006l-12.39446,-2.30227l-12.38781,-1.24111l-9.09889,1.36344l-6.98303,4.37952l-4.77034,4.69851l-4.39365,5.40949l-5.85298,6.51248l-10.04166,12.14757l-3.56771,7.20595l-1.39063,7.64648"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
6,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,bird,P,THU_sketches_and_metadata/bird_sketch_iPad3_THU5M7 _P.png,images_photocues/bird_2.png,1,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M370.21875,285.42188l4.85429,-12.61304l9.69105,-12.15957l11.91838,-10.77326l11.53629,-8.45413l4.46896,-2.93656l7.44789,-5.00513l6.98947,-5.03429l3.09368,-3.02402"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
7,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,bird,P,THU_sketches_and_metadata/bird_sketch_iPad3_THU5M7 _P.png,images_photocues/bird_2.png,2,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M307.21875,335.42188l6.31184,-3.21874l7.72554,-0.1537l14.96262,3.37244l10.53169,0.71426l5.62403,0.60367l3.84428,1.68207l10.61076,7.2649l14.38924,5.7351l11.86434,4.40153l4.71082,3.12612l3.42484,4.47235"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
8,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,bird,P,THU_sketches_and_metadata/bird_sketch_iPad3_THU5M7 _P.png,images_photocues/bird_2.png,3,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M173.21875,306.42188l-0.58487,-3.09276l1.53856,-1.62791l6.04632,0.72067l1,1l5.31338,7.23857l6.68662,5.76143l3.9398,0.8851l3.0602,2.1149"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
9,Tsinghua_photodraw_production1573784627069,iPad3_THU5M7 ,IPAD3_THU5M7,5.02,bird,P,THU_sketches_and_metadata/bird_sketch_iPad3_THU5M7 _P.png,images_photocues/bird_2.png,4,"<path xmlns=""http://www.w3.org/2000/svg"" d=""M180.21875,349.42188l5.64603,9.73291l5.34779,12.47702l4.85088,11.62206l4.15531,7.16802l1.2296,3.88585l1.17279,7.01654l0.97159,6.81534l0.62601,3.28226l1.73897,3.45772l2.49537,6.27662l2.3782,6.15945l1.38746,3.10621l2.56694,2.44194l0.43306,1.55806"" fill=""none"" fill-rule=""nonzero"" stroke=""#000000"" stroke-width=""10"" stroke-linecap=""round"" stroke-linejoin=""miter"" stroke-miterlimit=""10"" stroke-dasharray="""" stroke-dashoffset=""0"" font-family=""none"" font-weight=""none"" font-size=""none"" text-anchor=""none"" style=""mix-blend-mode: normal""/>"
