subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
012519_6,photodraw_e21548455224165,P,airplane,7,27.276,0.022441007653061226,age4,P_airplane_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD1_THU4M5,Tsinghua_photodraw_production1573782358833,P,airplane,6,30174,0.0165218431122449,NA,P_airplane_sketch_age4_IPAD1_THU4M5.png,4,THU
011619_1,photodraw_e21547663022993,P,bike,7,16.067,0.03551498724489796,age4,P_bike_sketch_age4_CDM_photodraw_e21547663022993.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,P,bike,7,30086,0.038763552295918366,NA,P_bike_sketch_age4_IPAD4_THU4M7.png,4,THU
012519_2,photodraw_e21548445362792,P,bird,8,16.325,0.06630660076530612,age4,P_bird_sketch_age4_CDM_photodraw_e21548445362792.png,4,CDM
IPAD1_THU4M7,Tsinghua_photodraw_production1573784632550,P,bird,5,29801,0.08974410076530612,NA,P_bird_sketch_age4_IPAD1_THU4M7.png,4,THU
011819_2,photodraw_e21547836177154,S,car,6,25.275,0.1041733099489796,age4,S_car_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,S,car,4,15310,0.039720184948979595,NA,S_car_sketch_age4_IPAD3_THU4F6.png,4,THU
011119_12,photodraw_e21547246292717,P,cat,2,9.871,0.01132015306122449,age4,P_cat_sketch_age4_CDM_photodraw_e21547246292717.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,S,cat,7,30172,0.02405532525510204,NA,S_cat_sketch_age4_IPAD1_THU4F10.png,4,THU
011819_2,photodraw_e21547836177154,P,chair,4,14.119,0.014568718112244899,age4,P_chair_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,P,chair,4,20326,0.023278061224489797,NA,P_chair_sketch_age4_IPAD3_THU4F6.png,4,THU
012519_6,photodraw_e21548455224165,S,cup,9,17.191,0.02911750637755102,age4,S_cup_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD1_THU4M7,Tsinghua_photodraw_production1573784632550,P,cup,3,30509,0.05018335459183673,NA,P_cup_sketch_age4_IPAD1_THU4M7.png,4,THU
010919_7,photodraw_e21547070395780,P,hat,3,10.372,0.050462372448979595,age4,P_hat_sketch_age4_CDM_photodraw_e21547070395780.png,4,CDM
IPAD1_THU4M9,Tsinghua_photodraw_production1573786980255,S,hat,5,22350,0.02517139668367347,NA,S_hat_sketch_age4_IPAD1_THU4M9.png,4,THU
011119_9,photodraw_e21547242197593,S,house,1,3.235,0.0460578762755102,age4,S_house_sketch_age4_CDM_photodraw_e21547242197593.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,S,house,8,22718,0.04645647321428571,NA,S_house_sketch_age4_IPAD5_THU4M10.png,4,THU
011819_2,photodraw_e21547836177154,P,rabbit,10,23.57,0.04553970025510204,age4,P_rabbit_sketch_age4_CDM_photodraw_e21547836177154.png,4,CDM
IPAD1_THU4F10,Tsinghua_photodraw_production1573800407496,P,rabbit,5,22123,0.02024872448979592,NA,P_rabbit_sketch_age4_IPAD1_THU4F10.png,4,THU
011119_9,photodraw_e21547242197593,S,tree,10,16.875,0.06493144132653061,age4,S_tree_sketch_age4_CDM_photodraw_e21547242197593.png,4,CDM
IPAD1_THU4M7,Tsinghua_photodraw_production1573784632550,P,tree,22,30250,0.07306281887755102,NA,P_tree_sketch_age4_IPAD1_THU4M7.png,4,THU
011619_5,photodraw_e21547668526141,P,watch,4,7.45,0.033522002551020405,age4,P_watch_sketch_age4_CDM_photodraw_e21547668526141.png,4,CDM
IPAD5_THU4M10,Tsinghua_photodraw_production1573799989669,S,watch,5,19731,0.05060188137755102,NA,S_watch_sketch_age4_IPAD5_THU4M10.png,4,THU
