"","X","filename","category","pre_tran","post_tran","rotate","translate","scale","site","session_id","rating"
"1",0,"Tsinghua_photodraw_production1573781111110_square.png","square",-0.10622227937,-0.730519413948,0.0140725,0.0596407,0.0647939890166608,"Tsinghua","production1573781111110",3
"2",1,"Tsinghua_photodraw_production1577170507146_square.png","square",-0.286393135786,-0.612714767456,0.00111378,0.0285719,0.0260709195386119,"Tsinghua","production1577170507146",3
"3",2,"Tsinghua_photodraw_production1576136080275_square.png","square",-0.0492177717388,-0.555098593235,0.00111136,0.0212179,0.0717482317353732,"Tsinghua","production1576136080275",2
"4",3,"CDM_photodraw_e21547238752953_square.png","square",-0.097375549376,-0.794636011124,0.00336013,0.025697,0.110145610182168,"CDM","e21547238752953",3
"5",4,"CDM_photodraw_e21547849081297_square.png","square",-0.162084639072,-0.723682999611,0.0492893,0.00926171,0.0691339838559878,"CDM","e21547849081297",3
"6",5,"Tsinghua_photodraw_production1575528834271_square.png","square",0.0332349538803,0.0215835925192,0.053686,0.394929,0.0797983779704366,"Tsinghua","production1575528834271",0
"7",6,"Tsinghua_photodraw_production1573782872726_square.png","square",-0.164976522326,-0.701159596443,0.00730955,0.0465585,0.0657738690012011,"Tsinghua","production1573782872726",3
"8",7,"CDM_photodraw_e21555004796019_square.png","square",-0.262006223202,-0.712834954262,0.0254399,0.00663592,0.0624655696943003,"CDM","e21555004796019",3
"9",8,"CDM_photodraw_e21547668018017_square.png","square",-0.422647416592,-0.799158096313,0.0322208,0.00439879,0.0350714027939236,"CDM","e21547668018017",4
"10",9,"CDM_photodraw_e21547668526141_square.png","square",-0.0757975950837,-0.389437645674,0.0150559,0.0348335,0.0567170619620284,"CDM","e21547668526141",1
"11",10,"Tsinghua_photodraw_production1576655850817_square.png","square",-0.0738324970007,-0.40690100193,0.00203348,0.0229648,0.032832594032474,"Tsinghua","production1576655850817",2
"12",11,"Tsinghua_photodraw_production1576134884446_square.png","square",-0.162798017263,-0.581892609596,0.0323391,0.00989549,0.0778893914450342,"Tsinghua","production1576134884446",2
"13",12,"Tsinghua_photodraw_production1578553081396_square.png","square",-0.355372369289,-0.717349469662,0.0295286,0.0171968,0.0750337551350995,"Tsinghua","production1578553081396",3
