subID,session_id,condition,category,num_strokes,draw_duration,mean_intensity,age,filename,age_numeric,site
011619_2,photodraw_e21547664938821,S,airplane,8,18.844,0.04567920918367347,age4,S_airplane_sketch_age4_CDM_photodraw_e21547664938821.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,S,airplane,4,30104,0.024135044642857144,NA,S_airplane_sketch_age4_IPAD3_THU4F8.png,4,THU
012519_6,photodraw_e21548455224165,S,bike,2,5.015,0.08643574617346939,age4,S_bike_sketch_age4_CDM_photodraw_e21548455224165.png,4,CDM
IPAD3_THU4M5,Tsinghua_photodraw_production1573782448277,P,bike,9,30087,0.049904336734693876,NA,P_bike_sketch_age4_IPAD3_THU4M5.png,4,THU
011119_11,photodraw_e21547243566891,P,bird,3,14.345,0.01309390943877551,age4,P_bird_sketch_age4_CDM_photodraw_e21547243566891.png,4,CDM
IPAD3_THU4F6,Tsinghua_photodraw_production1573783854844,S,bird,4,30112,0.03882334183673469,NA,S_bird_sketch_age4_IPAD3_THU4F6.png,4,THU
110918_1,photodraw_e21541799408496,S,car,2,6.546,0.02911750637755102,age4,S_car_sketch_age4_CDM_photodraw_e21541799408496.png,4,CDM
IPAD5_THU4M5,Tsinghua_photodraw_production1573782872726,S,car,2,30080,0.035056600765306124,NA,S_car_sketch_age4_IPAD5_THU4M5.png,4,THU
011119_9,photodraw_e21547242197593,P,cat,5,9.639,0.03509646045918367,age4,P_cat_sketch_age4_CDM_photodraw_e21547242197593.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,S,cat,2,30161,0.016721141581632654,NA,S_cat_sketch_age4_IPAD1_THU4F6.png,4,THU
011619_6,photodraw_e21547672389753,P,chair,7,10.439,0.03146922831632653,age4,P_chair_sketch_age4_CDM_photodraw_e21547672389753.png,4,CDM
IPAD2_THU5M03,Tsinghua_photodraw_production1573782278634,S,chair,8,30149,0.034099968112244895,NA,S_chair_sketch_age4_IPAD2_THU5M03.png,4,THU
011619_7,photodraw_e21547673281903,P,cup,3,9.323,0.02277981505102041,age4,P_cup_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD1_THU4F6,Tsinghua_photodraw_production1573783652311,P,cup,5,30116,0.026646205357142856,NA,P_cup_sketch_age4_IPAD1_THU4F6.png,4,THU
011619_7,photodraw_e21547673281903,S,hat,2,4.555,0.021065848214285716,age4,S_hat_sketch_age4_CDM_photodraw_e21547673281903.png,4,CDM
IPAD5_THU4M5,Tsinghua_photodraw_production1573782872726,S,hat,1,13463,0.017877072704081634,NA,S_hat_sketch_age4_IPAD5_THU4M5.png,4,THU
011619_1,photodraw_e21547663022993,P,house,5,15.221,0.050701530612244895,age4,P_house_sketch_age4_CDM_photodraw_e21547663022993.png,4,CDM
IPAD4_THU4M7,Tsinghua_photodraw_production1573784365523,S,house,2,30086,0.0146484375,NA,S_house_sketch_age4_IPAD4_THU4M7.png,4,THU
0111819_10,photodraw_e21547849860466,S,rabbit,10,17.359,0.04811065051020408,age4,S_rabbit_sketch_age4_CDM_photodraw_e21547849860466.png,4,CDM
IPAD5_THU4M7,Tsinghua_photodraw_production1573784374186,P,rabbit,11,23978,0.03463807397959184,NA,P_rabbit_sketch_age4_IPAD5_THU4M7.png,4,THU
012519_4,photodraw_e21548451296118,S,tree,4,7.005,0.027224170918367346,age4,S_tree_sketch_age4_CDM_photodraw_e21548451296118.png,4,CDM
IPAD3_THU4M10,Tsinghua_photodraw_production1573800441750,P,tree,6,25135,0.05903220663265306,NA,P_tree_sketch_age4_IPAD3_THU4M10.png,4,THU
020719_1,photodraw_e21549564465088,S,watch,2,3.11,0.029296875,age4,S_watch_sketch_age4_CDM_photodraw_e21549564465088.png,4,CDM
IPAD3_THU4F8,Tsinghua_photodraw_production1573785586812,S,watch,5,30213,0.042091836734693876,NA,S_watch_sketch_age4_IPAD3_THU4F8.png,4,THU
110218_1,photodraw_e21541191137910,S,airplane,3,15.54,0.06423389668367346,age5,S_airplane_sketch_age5_CDM_photodraw_e21541191137910.png,5,CDM
IPAD3_THU5F4,Tsinghua_photodraw_production1573781474552,P,airplane,5,30091,0.04416454081632653,NA,P_airplane_sketch_age5_IPAD3_THU5F4.png,5,THU
110218_1,photodraw_e21541191137910,S,bike,12,27.033,0.039182079081632654,age5,S_bike_sketch_age5_CDM_photodraw_e21541191137910.png,5,CDM
IPAD5_THU6M4,Tsinghua_photodraw_production1573781580447,S,bike,7,23593,0.03966039540816327,NA,S_bike_sketch_age5_IPAD5_THU6M4.png,5,THU
111218_6,photodraw_e21542057631101,P,bird,15,27.914,0.0631576849489796,age5,P_bird_sketch_age5_CDM_photodraw_e21542057631101.png,5,CDM
IPAD3_THU5F2,Tsinghua_photodraw_production1573780074909,S,bird,7,23283,0.06875797193877552,NA,S_bird_sketch_age5_IPAD3_THU5F2.png,5,THU
112818_1,photodraw_e21543430495947,S,car,7,15.949,0.04420440051020408,age5,S_car_sketch_age5_CDM_photodraw_e21543430495947.png,5,CDM
IPAD4_THU5M3,Tsinghua_photodraw_production1573780549952,S,car,1,6335,0.013113839285714286,NA,S_car_sketch_age5_IPAD4_THU5M3.png,5,THU
111418_3,photodraw_e21542223602317,P,cat,11,23.191,0.03537547831632653,age5,P_cat_sketch_age5_CDM_photodraw_e21542223602317.png,5,CDM
IPAD4_THU5F2,Tsinghua_photodraw_production1573779925870,P,cat,5,30097,0.035275829081632654,NA,P_cat_sketch_age5_IPAD4_THU5F2.png,5,THU
010919_4,photodraw_e21547066393058,P,chair,12,25.833,0.06562898596938775,age5,P_chair_sketch_age5_CDM_photodraw_e21547066393058.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,P,chair,5,29256,0.034837372448979595,NA,P_chair_sketch_age5_IPAD5_THU5F2.png,5,THU
120718_1,photodraw_e21544206692186,S,cup,3,10.299,0.03561463647959184,age5,S_cup_sketch_age5_CDM_photodraw_e21544206692186.png,5,CDM
IPAD5_THU5F3,Tsinghua_photodraw_production1573781111110,P,cup,3,14024,0.022739955357142856,NA,P_cup_sketch_age5_IPAD5_THU5F3.png,5,THU
111418_5,photodraw_e21542225408593,S,hat,12,30,0.031190210459183673,age5,S_hat_sketch_age5_CDM_photodraw_e21542225408593.png,5,CDM
IPAD5_THU6M4,Tsinghua_photodraw_production1573781580447,P,hat,2,10553,0.021025988520408163,NA,P_hat_sketch_age5_IPAD5_THU6M4.png,5,THU
121418_3,photodraw_e21544821083289,S,house,2,4.074,0.042889030612244895,age5,S_house_sketch_age5_CDM_photodraw_e21544821083289.png,5,CDM
IPAD1_THU5F3,Tsinghua_photodraw_production1573780408443,S,house,17,30185,0.05072146045918367,NA,S_house_sketch_age5_IPAD1_THU5F3.png,5,THU
112818_1,photodraw_e21543430495947,P,rabbit,7,21.111,0.02090640943877551,age5,P_rabbit_sketch_age5_CDM_photodraw_e21543430495947.png,5,CDM
IPAD3_THU5M1,Tsinghua_photodraw_production1573779019443,P,rabbit,4,17972,0.060227997448979595,NA,P_rabbit_sketch_age5_IPAD3_THU5M1.png,5,THU
111418_5,photodraw_e21542225408593,S,tree,8,30,0.040537308673469385,age5,S_tree_sketch_age5_CDM_photodraw_e21542225408593.png,5,CDM
IPAD5_THU6M4,Tsinghua_photodraw_production1573781580447,S,tree,3,13284,0.03966039540816327,NA,S_tree_sketch_age5_IPAD5_THU6M4.png,5,THU
121418_3,photodraw_e21544821083289,S,watch,3,5.149,0.03455835459183673,age5,S_watch_sketch_age5_CDM_photodraw_e21544821083289.png,5,CDM
IPAD5_THU5F2,Tsinghua_photodraw_production1573779810259,S,watch,10,30139,0.02716438137755102,NA,S_watch_sketch_age5_IPAD5_THU5F2.png,5,THU
103118_1,photodraw_e21541008354503,P,airplane,14,24.197,0.10016741071428571,age6,P_airplane_sketch_age6_CDM_photodraw_e21541008354503.png,6,CDM
IPAD1_THU7M44,Tsinghua_photodraw_production1576739331978,P,airplane,3,23019,0.05141900510204082,NA,P_airplane_sketch_age6_IPAD1_THU7M44.png,6,THU
011119_3,photodraw_e21547232670235,P,bike,5,7.655,0.049705038265306124,age6,P_bike_sketch_age6_CDM_photodraw_e21547232670235.png,6,CDM
IPAD1_THU7M44,Tsinghua_photodraw_production1576739331978,S,bike,13,30174,0.0478515625,NA,S_bike_sketch_age6_IPAD1_THU7M44.png,6,THU
011819_3,photodraw_e21547836732785,S,bird,13,19.958,0.03730867346938776,age6,S_bird_sketch_age6_CDM_photodraw_e21547836732785.png,6,CDM
IPAD1_THU7M44,Tsinghua_photodraw_production1576739331978,S,bird,8,12529,0.06275908801020408,NA,S_bird_sketch_age6_IPAD1_THU7M44.png,6,THU
011619_4,photodraw_e21547668018017,P,car,9,20.156,0.07348134566326531,age6,P_car_sketch_age6_CDM_photodraw_e21547668018017.png,6,CDM
IPAD2_THU6M30,Tsinghua_photodraw_production1576134884446,P,car,14,30093,0.09018255739795919,NA,P_car_sketch_age6_IPAD2_THU6M30.png,6,THU
111418_2,photodraw_e21542220695445,S,cat,9,10.686,0.042689732142857144,age6,S_cat_sketch_age6_CDM_photodraw_e21542220695445.png,6,CDM
IPAD3_THU6F19,Tsinghua_photodraw_production1576738635229,P,cat,3,22083,0.04225127551020408,NA,P_cat_sketch_age6_IPAD3_THU6F19.png,6,THU
010919_9,photodraw_e21547073155004,P,chair,8,14.599,0.053611288265306124,age6,P_chair_sketch_age6_CDM_photodraw_e21547073155004.png,6,CDM
IPAD1_1THU6F30,Tsinghua_photodraw_production1576135913017,P,chair,10,22955,0.06778140943877552,NA,P_chair_sketch_age6_IPAD1_1THU6F30.png,6,THU
103118_1,photodraw_e21541008354503,S,cup,2,6.792,0.050860969387755105,age6,S_cup_sketch_age6_CDM_photodraw_e21541008354503.png,6,CDM
IPAD2_THU6M3,Tsinghua_photodraw_production1577085989112,S,cup,5,10340,0.03457828443877551,NA,S_cup_sketch_age6_IPAD2_THU6M3.png,6,THU
012119_4,photodraw_e21548097384364,S,hat,13,19.407,0.049107142857142856,age6,S_hat_sketch_age6_CDM_photodraw_e21548097384364.png,6,CDM
IPAD1_THU6F43,Tsinghua_photodraw_production1576738027913,S,hat,4,8698,0.021922831632653062,NA,S_hat_sketch_age6_IPAD1_THU6F43.png,6,THU
103118_2,photodraw_e21541017927896,P,house,11,16.525,0.06929607780612244,age6,P_house_sketch_age6_CDM_photodraw_e21541017927896.png,6,CDM
IPAD2_THU6M2,Tsinghua_photodraw_production1577085371906,S,house,10,22318,0.02654655612244898,NA,S_house_sketch_age6_IPAD2_THU6M2.png,6,THU
010919_9,photodraw_e21547073155004,S,rabbit,6,19.23,0.05767697704081633,age6,S_rabbit_sketch_age6_CDM_photodraw_e21547073155004.png,6,CDM
IPAD2_THU6M31,Tsinghua_photodraw_production1576135499181,S,rabbit,9,26666,0.05422911352040816,NA,S_rabbit_sketch_age6_IPAD2_THU6M31.png,6,THU
012119_1,photodraw_e21548094649748,P,tree,3,7.85,0.03981983418367347,age6,P_tree_sketch_age6_CDM_photodraw_e21548094649748.png,6,CDM
IPAD1_THU6F43,Tsinghua_photodraw_production1576738027913,P,tree,5,13433,0.03964046556122449,NA,P_tree_sketch_age6_IPAD1_THU6F43.png,6,THU
011819_5,photodraw_e21547845453981,P,watch,15,21.443,0.0801578443877551,age6,P_watch_sketch_age6_CDM_photodraw_e21547845453981.png,6,CDM
IPAD1_THU7M44,Tsinghua_photodraw_production1576739331978,S,watch,13,20966,0.03473772321428571,NA,S_watch_sketch_age6_IPAD1_THU7M44.png,6,THU
011619_3,photodraw_e21547667337924,S,airplane,4,9.773,0.042869100765306124,age7,S_airplane_sketch_age7_CDM_photodraw_e21547667337924.png,7,CDM
IPAD3_THU7F11,Tsinghua_photodraw_production1575443112866,S,airplane,5,13635,0.03180803571428571,NA,S_airplane_sketch_age7_IPAD3_THU7F11.png,7,THU
012119_11,photodraw_e21548107987673,S,bike,20,17.057,0.08864795918367346,age7,S_bike_sketch_age7_CDM_photodraw_e21548107987673.png,7,CDM
IPAD2_THU8M16,Tsinghua_photodraw_production1575443707583,P,bike,8,22069,0.0594108737244898,NA,P_bike_sketch_age7_IPAD2_THU8M16.png,7,THU
012119_10,photodraw_e21548106388954,P,bird,9,22.209,0.04175302933673469,age7,P_bird_sketch_age7_CDM_photodraw_e21548106388954.png,7,CDM
IPAD3_THU7F11,Tsinghua_photodraw_production1575443112866,P,bird,11,30075,0.053591358418367346,NA,P_bird_sketch_age7_IPAD3_THU7F11.png,7,THU
111418_6,photodraw_e21542224706912,S,car,18,30,0.14634486607142858,age7,S_car_sketch_age7_CDM_photodraw_e21542224706912.png,7,CDM
IPAD2_THU7M18,Tsinghua_photodraw_production1575529104308,S,car,7,26434,0.03551498724489796,NA,S_car_sketch_age7_IPAD2_THU7M18.png,7,THU
011119_13,photodraw_e21547247873170,P,cat,13,26.679,0.03063217474489796,age7,P_cat_sketch_age7_CDM_photodraw_e21547247873170.png,7,CDM
IPAD1_THU7F15,Tsinghua_photodraw_production1575443023769,P,cat,2,20520,0.05640146683673469,NA,P_cat_sketch_age7_IPAD1_THU7F15.png,7,THU
010919_6,photodraw_e21547069129052,S,chair,7,7.582,0.03748804209183673,age7,S_chair_sketch_age7_CDM_photodraw_e21547069129052.png,7,CDM
IPAD1_THU7F31,Tsinghua_photodraw_production1576136360732,P,chair,13,19421,0.048509247448979595,NA,P_chair_sketch_age7_IPAD1_THU7F31.png,7,THU
111418_6,photodraw_e21542224706912,P,cup,16,30,0.09444754464285714,age7,P_cup_sketch_age7_CDM_photodraw_e21542224706912.png,7,CDM
IPAD1_THU8M16,Tsinghua_photodraw_production1575443741291,S,cup,2,5065,0.023098692602040817,NA,S_cup_sketch_age7_IPAD1_THU8M16.png,7,THU
011119_13,photodraw_e21547247873170,S,hat,3,5.84,0.03356186224489796,age7,S_hat_sketch_age7_CDM_photodraw_e21547247873170.png,7,CDM
IPAD1_THU7F40,Tsinghua_photodraw_production1576654381493,P,hat,8,16601,0.02857940051020408,NA,P_hat_sketch_age7_IPAD1_THU7F40.png,7,THU
013119_1,photodraw_e21548958550335,S,house,11,14.4,0.05221619897959184,age7,S_house_sketch_age7_CDM_photodraw_e21548958550335.png,7,CDM
IPAD2_THU8M16,Tsinghua_photodraw_production1575443707583,P,house,18,26036,0.08456234056122448,NA,P_house_sketch_age7_IPAD2_THU8M16.png,7,THU
010919_6,photodraw_e21547069129052,S,rabbit,13,17.775,0.051080197704081634,age7,S_rabbit_sketch_age7_CDM_photodraw_e21547069129052.png,7,CDM
IPAD2_THU8M16,Tsinghua_photodraw_production1575443707583,S,rabbit,9,30096,0.06945551658163265,NA,S_rabbit_sketch_age7_IPAD2_THU8M16.png,7,THU
011119_10,photodraw_e21547242571962,P,tree,11,10.406,0.04886798469387755,age7,P_tree_sketch_age7_CDM_photodraw_e21547242571962.png,7,CDM
IPAD2_THU7M17,Tsinghua_photodraw_production1575444709158,S,tree,4,6830,0.02947624362244898,NA,S_tree_sketch_age7_IPAD2_THU7M17.png,7,THU
011119_10,photodraw_e21547242571962,S,watch,11,13.439,0.05681999362244898,age7,S_watch_sketch_age7_CDM_photodraw_e21547242571962.png,7,CDM
IPAD2_THU6M4,Tsinghua_photodraw_production1577086735995,S,watch,8,22979,0.03569435586734694,NA,S_watch_sketch_age7_IPAD2_THU6M4.png,7,THU
022019_4,photodraw_e21550694845595,S,airplane,10,23.956,0.06636639030612244,age8,S_airplane_sketch_age8_CDM_photodraw_e21550694845595.png,8,CDM
